"","proteinId","...1.x","ecNum","definition","pathway","gotermID","gotermType","goAcc","kogID","kogdefine","kogClass","iprId","iprDesc","...1.y","Feature","Record.Id","Function","GeneID"
"966",77168,846,NA,NA,NA,"2175, 3838","nucleic acid binding, nucleus","GO:0003676, GO:0005634","KOG3914","WD repeat protein WDR4","Function unknown",NA,NA,1134,"RDEBS26988","RDEBS26988","tRNA (m(7)G46) methyltransferase subunit 2 (EC 2.1.1.33)","jgi.p|Debsub1|77168"
"967",77196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060,"RDEBS27062","RDEBS27062",NA,"jgi.p|Debsub1|77196"
"968",77204,847,"3.4.23.24","Candidapepsin.","\N",NA,NA,NA,"KOG1339","Aspartyl protease","Posttranslational modification, protein turnover, chaperones",NA,NA,1148,"RDEBS26910","RDEBS26910","Aspartic proteinase 3 precursor (EC 3.4.23.41)","jgi.p|Debsub1|77204"
"969",77434,848,NA,NA,NA,"3727, 13949","protein binding, septin complex","GO:0005515, GO:0031105","KOG2655","Septin family protein (P-loop GTPase)","Cell cycle control, cell division, chromosome partitioning , Intracellular trafficking, secretion, and vesicular transport , Cytoskeleton",NA,NA,1038,"RDEBS27164","RDEBS27164","Cell division control protein 11","jgi.p|Debsub1|77434"
"970",77607,849,NA,NA,NA,"3727, 5939, 4499","protein binding, zinc ion binding, transcription","GO:0005515, GO:0008270, GO:0006350","KOG1634","Predicted transcription factor DATF1, contains PHD and TFS2M domains","Transcription",NA,NA,1019,"RDEBS27282","RDEBS27282",NA,"jgi.p|Debsub1|77607"
"971",77637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004,"RDEBS27344","RDEBS27344",NA,"jgi.p|Debsub1|77637"
"972",77650,850,"2.3.1.16","Acetyl-CoA C-acyltransferase.","Benzoate degradation via hydroxylation","2290, 5830, 2436","catalytic activity, metabolic process, acetyl-CoA C-acyltransferase activity","GO:0003824, GO:0008152, GO:0003988","KOG1389","3-oxoacyl CoA thiolase","Lipid transport and metabolism",NA,NA,987,"RDEBS27463","RDEBS27463","3-ketoacyl-CoA thiolase (EC 2.3.1.16)","jgi.p|Debsub1|77650"
"973",77654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,975,"RDEBS27535","RDEBS27535","Chromosome segregation ATPases","jgi.p|Debsub1|77654"
"974",77663,851,NA,NA,NA,"11484","phosphatase activator activity","GO:0019211","KOG2867","Phosphotyrosyl phosphatase activator","Cell cycle control, cell division, chromosome partitioning , Signal transduction mechanisms",NA,NA,927,"RDEBS27714","RDEBS27714","Protein phosphatase type 2A phosphotyrosyl phosphatase activator","jgi.p|Debsub1|77663"
"975",77718,852,NA,NA,NA,NA,NA,NA,"KOG2261","Polycomb enhancer protein, EPC","Transcription",NA,NA,947,"RDEBS27572","RDEBS27572","Histone acetyltransferase adaptor EPL1","jgi.p|Debsub1|77718"
"976",77721,853,NA,NA,NA,"3043, 3736, 4602, 3045, 3073","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein serine/threonine kinase activity, MAP kinase activity","GO:0004672, GO:0005524, GO:0006468, GO:0004674, GO:0004707","KOG0660","Mitogen-activated protein kinase","Signal transduction mechanisms",NA,NA,978,"RDEBS27517","RDEBS27517","Mitogen-activated protein kinase (EC 2.7.11.24)","jgi.p|Debsub1|77721"
"977",77722,854,NA,NA,NA,"2290, 6667, 13063, 9967","catalytic activity, biosynthetic process, pyridoxal phosphate binding, transferase activity, transferring nitrogenous groups","GO:0003824, GO:0009058, GO:0030170, GO:0016769","KOG0257","Kynurenine aminotransferase, glutamine transaminase K","Amino acid transport and metabolism",NA,NA,981,"RDEBS27501","RDEBS27501","Pyridoxal-dependent aminotransferases","jgi.p|Debsub1|77722"
"978",77746,855,"3.1.-.-","Acting on ester bonds.","\N","2909, 4440, 18089, 19229","nuclease activity, DNA repair, phosphoric ester hydrolase activity, T/G mismatch-specific endonuclease activity","GO:0004518, GO:0006281, GO:0042578, GO:0043765","KOG2520","5'-3' exonuclease","Replication, recombination and repair",NA,NA,926,"RDEBS27720","RDEBS27720","Flap structure-specific endonuclease","jgi.p|Debsub1|77746"
"979",78013,856,NA,NA,NA,NA,NA,NA,"KOG2533","Permease of the major facilitator superfamily","Carbohydrate transport and metabolism",NA,NA,954,"RDEBS28022","RDEBS28022","Transporter, MFS superfamily","jgi.p|Debsub1|78013"
"980",78020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,854,"RDEBS28163","RDEBS28163","Pirin","jgi.p|Debsub1|78020"
"981",78027,857,NA,NA,NA,NA,NA,NA,"KOG1835","Uncharacterized conserved protein","Function unknown",NA,NA,903,"RDEBS27838","RDEBS27838","Nucleoporin NUP192","jgi.p|Debsub1|78027"
"982",78088,858,NA,NA,NA,"3642, 6276, 9320, 3546, 4927, 9321","sugar:hydrogen symporter activity, carbohydrate transport, membrane, transporter activity, transport, integral to membrane","GO:0005351, GO:0008643, GO:0016020, GO:0005215, GO:0006810, GO:0016021","KOG0254","Predicted transporter (major facilitator superfamily)","General function prediction only",NA,NA,963,"RDEBS27973","RDEBS27973","Quinate permease","jgi.p|Debsub1|78088"
"983",78117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,895,"RDEBS27884","RDEBS27884",NA,"jgi.p|Debsub1|78117"
"984",78152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,857,"RDEBS28145","RDEBS28145","Hypothetical protein","jgi.p|Debsub1|78152"
"985",78197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,846,"RDEBS28207","RDEBS28207",NA,"jgi.p|Debsub1|78197"
"986",78230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,888,"RDEBS28041","RDEBS28041","Hypothetical protein","jgi.p|Debsub1|78230"
"987",78268,859,"2.1.1.-","Methyltransferases.","Androgen and estrogen metabolism","175, 2346, 5847, 5848, 5849, 5850, 5851, 5852, 5853, 5945, 5992, 6085, 6281, 6282, 6619, 6977, 9489, 9552, 9553, 9556, 9557, 9572, 9652, 9653, 9654, 9655, 9659, 9661, 9662, 9663, 9664, 10743, 11011, 11960, 13642, 19234, 19240, 19241, 19244, 19246, 19254, 19255, 19267, 19291, 19297, 19298, 19315, 19316","rRNA (adenine-N6,N6-)-dimethyltransferase activity, C-terminal protein carboxyl methyltransferase activity, C-methyltransferase activity, N-methyltransferase activity, O-methyltransferase activity, S-methyltransferase activity, RNA methyltransferase activity, mRNA methyltransferase activity, tRNA methyltransferase activity, protein methyltransferase activity, site-specific DNA-methyltransferase (cytosine-specific) activity, 2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity, rRNA methyltransferase activity, rRNA (uridine-2'-O-)-methyltransferase activity, DNA-methyltransferase activity, rRNA (cytosine-C5-967)-methyltransferase activity, selenocysteine methyltransferase activity, arginine N-methyltransferase activity, protein-arginine N-methyltransferase activity, lysine N-methyltransferase activity, protein-lysine N-methyltransferase activity, tRNA (uracil) methyltransferase activity, tRNA (guanine) methyltransferase activity, tRNA (guanosine) methyltransferase activity, tRNA (adenine)-methyltransferase activity, tRNA (cytosine)-methyltransferase activity, tRNA (uridine) methyltransferase activity, rRNA (adenine) methyltransferase activity, rRNA (cytosine) methyltransferase activity, rRNA (guanine) methyltransferase activity, rRNA (uridine) methyltransferase activity, protein-leucine O-methyltransferase activity, 1-phenanthrol methyltransferase activity, protein-arginine N5-methyltransferase activity, methylarsonite methyltransferase activity, demethylmenaquinone methyltransferase activity, cobalt-precorrin-6B C5-methyltransferase activity, cobalt-precorrin-7 C15-methyltransferase activity, cobalt-precorrin-5B C1-methyltransferase activity, cobalt-precorrin-3 C17-methyltransferase activity, dimethyladenosine transferase activity, dimethylamine methyltransferase activity, hydroxyneurosporene-O-methyltransferase activity, tRNA (adenine-57, 58-N(1)-) methyltransferase activity, methylamine-specific methylcobalamin:coenzyme M methyltransferase activity, trimethylamine methyltransferase activity, methanol-specific methylcobalamin:coenzyme M methyltransferase activity, monomethylamine methyltransferase activity","GO:0000179, GO:0003880, GO:0008169, GO:0008170, GO:0008171, GO:0008172, GO:0008173, GO:0008174, GO:0008175, GO:0008276, GO:0008326, GO:0008425, GO:0008649, GO:0008650, GO:0009008, GO:0009383, GO:0016205, GO:0016273, GO:0016274, GO:0016278, GO:0016279, GO:0016300, GO:0016423, GO:0016424, GO:0016426, GO:0016427, GO:0016431, GO:0016433, GO:0016434, GO:0016435, GO:0016436, GO:0018423, GO:0018707, GO:0019702, GO:0030792, GO:0043770, GO:0043776, GO:0043777, GO:0043780, GO:0043782, GO:0043790, GO:0043791, GO:0043803, GO:0043827, GO:0043833, GO:0043834, GO:0043851, GO:0043852","KOG1709","Guanidinoacetate methyltransferase and related proteins","Amino acid transport and metabolism",NA,NA,836,"RDEBS28308","RDEBS28308","Protein-arginine methyltransferase, type III (EC 2.1.1.-)","jgi.p|Debsub1|78268"
"988",78273,860,NA,NA,NA,"3433, 3827, 15148","Rab GTPase activator activity, intracellular, regulation of Rab GTPase activity","GO:0005097, GO:0005622, GO:0032313","KOG1091","Ypt/Rab-specific GTPase-activating protein GYP6","Intracellular trafficking, secretion, and vesicular transport",NA,NA,790,"RDEBS28384","RDEBS28384",NA,"jgi.p|Debsub1|78273"
"989",78276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779,"RDEBS28449","RDEBS28449",NA,"jgi.p|Debsub1|78276"
"990",78278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775,"RDEBS28472","RDEBS28472",NA,"jgi.p|Debsub1|78278"
"991",78280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,767,"RDEBS28517","RDEBS28517","Hypothetical protein","jgi.p|Debsub1|78280"
"992",78445,861,NA,NA,NA,NA,NA,NA,"KOG3466","NADH:ubiquinone oxidoreductase, NDUFB9/B22 subunit","Energy production and conversion",NA,NA,754,"RDEBS28585","RDEBS28585","Hypothetical cytosolic protein","jgi.p|Debsub1|78445"
"993",78450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,759,"RDEBS28565","RDEBS28565",NA,"jgi.p|Debsub1|78450"
"994",78467,862,"2.1.1.-","Methyltransferases.","Androgen and estrogen metabolism","3838, 4513, 5846, 175, 2346, 5847, 5848, 5849, 5850, 5851, 5852, 5853, 5945, 5992, 6085, 6281, 6282, 6619, 6977, 9489, 9552, 9553, 9556, 9557, 9572, 9652, 9653, 9654, 9655, 9659, 9661, 9662, 9663, 9664, 10743, 11011, 11960, 13642, 19234, 19240, 19241, 19244, 19246, 19254, 19255, 19267, 19291, 19297, 19298, 19315, 19316","nucleus, rRNA processing, methyltransferase activity, rRNA (adenine-N6,N6-)-dimethyltransferase activity, C-terminal protein carboxyl methyltransferase activity, C-methyltransferase activity, N-methyltransferase activity, O-methyltransferase activity, S-methyltransferase activity, RNA methyltransferase activity, mRNA methyltransferase activity, tRNA methyltransferase activity, protein methyltransferase activity, site-specific DNA-methyltransferase (cytosine-specific) activity, 2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity, rRNA methyltransferase activity, rRNA (uridine-2'-O-)-methyltransferase activity, DNA-methyltransferase activity, rRNA (cytosine-C5-967)-methyltransferase activity, selenocysteine methyltransferase activity, arginine N-methyltransferase activity, protein-arginine N-methyltransferase activity, lysine N-methyltransferase activity, protein-lysine N-methyltransferase activity, tRNA (uracil) methyltransferase activity, tRNA (guanine) methyltransferase activity, tRNA (guanosine) methyltransferase activity, tRNA (adenine)-methyltransferase activity, tRNA (cytosine)-methyltransferase activity, tRNA (uridine) methyltransferase activity, rRNA (adenine) methyltransferase activity, rRNA (cytosine) methyltransferase activity, rRNA (guanine) methyltransferase activity, rRNA (uridine) methyltransferase activity, protein-leucine O-methyltransferase activity, 1-phenanthrol methyltransferase activity, protein-arginine N5-methyltransferase activity, methylarsonite methyltransferase activity, demethylmenaquinone methyltransferase activity, cobalt-precorrin-6B C5-methyltransferase activity, cobalt-precorrin-7 C15-methyltransferase activity, cobalt-precorrin-5B C1-methyltransferase activity, cobalt-precorrin-3 C17-methyltransferase activity, dimethyladenosine transferase activity, dimethylamine methyltransferase activity, hydroxyneurosporene-O-methyltransferase activity, tRNA (adenine-57, 58-N(1)-) methyltransferase activity, methylamine-specific methylcobalamin:coenzyme M methyltransferase activity, trimethylamine methyltransferase activity, methanol-specific methylcobalamin:coenzyme M methyltransferase activity, monomethylamine methyltransferase activity","GO:0005634, GO:0006364, GO:0008168, GO:0000179, GO:0003880, GO:0008169, GO:0008170, GO:0008171, GO:0008172, GO:0008173, GO:0008174, GO:0008175, GO:0008276, GO:0008326, GO:0008425, GO:0008649, GO:0008650, GO:0009008, GO:0009383, GO:0016205, GO:0016273, GO:0016274, GO:0016278, GO:0016279, GO:0016300, GO:0016423, GO:0016424, GO:0016426, GO:0016427, GO:0016431, GO:0016433, GO:0016434, GO:0016435, GO:0016436, GO:0018423, GO:0018707, GO:0019702, GO:0030792, GO:0043770, GO:0043776, GO:0043777, GO:0043780, GO:0043782, GO:0043790, GO:0043791, GO:0043803, GO:0043827, GO:0043833, GO:0043834, GO:0043851, GO:0043852","KOG1098","Putative SAM-dependent rRNA methyltransferase SPB1","RNA processing and modification  , General function prediction only",NA,NA,744,"RDEBS28639","RDEBS28639","RRNA METHYLTRANSFERASE SPB1 (EC 2.1.1.-)","jgi.p|Debsub1|78467"
"995",78468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,739,"RDEBS28665","RDEBS28665",NA,"jgi.p|Debsub1|78468"
"996",78535,863,NA,NA,NA,NA,NA,NA,"KOG0759","Mitochondrial oxoglutarate/malate carrier proteins","Energy production and conversion",NA,NA,732,"RDEBS28706","RDEBS28706","Mitochondrial dicarboxylate carrier","jgi.p|Debsub1|78535"
"997",78634,864,NA,NA,NA,"248, 23835","3-keto sterol reductase activity, 3-keto-steroid reductase activity","GO:0000253, GO:0050576","KOG1478","3-keto sterol reductase","Lipid transport and metabolism",NA,NA,868,"RDEBS28937","RDEBS28937",NA,"jgi.p|Debsub1|78634"
"998",78647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,729,"RDEBS28983","RDEBS28983","Hypothetical protein","jgi.p|Debsub1|78647"
"999",78656,865,NA,NA,NA,NA,NA,NA,"KOG4532","WD40-like repeat containing protein","General function prediction only",NA,NA,713,"RDEBS29058","RDEBS29058","Hypothetical protein","jgi.p|Debsub1|78656"
"1000",78707,866,"3.5.4.6","AMP deaminase.","Purine metabolism","6773, 11509, 2342","purine ribonucleoside monophosphate biosynthetic process, deaminase activity, AMP deaminase activity","GO:0009168, GO:0019239, GO:0003876","KOG1096","Adenosine monophosphate deaminase","Nucleotide transport and metabolism",NA,NA,648,"RDEBS29411","RDEBS29411","AMP deaminase (EC 3.5.4.6)","jgi.p|Debsub1|78707"
"1001",78717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607,"RDEBS29596","RDEBS29596","Hypothetical protein","jgi.p|Debsub1|78717"
"1002",78762,867,NA,NA,NA,"3708","binding","GO:0005488","KOG4151","Myosin assembly protein/sexual cycle protein and related proteins","Cell cycle control, cell division, chromosome partitioning , Posttranslational modification, protein turnover, chaperones , General function prediction only",NA,NA,669,"RDEBS29286","RDEBS29286","SHE4 protein","jgi.p|Debsub1|78762"
"1003",78917,868,NA,NA,NA,NA,NA,NA,"KOG1685","Uncharacterized conserved protein","Function unknown",NA,NA,609,"RDEBS29586","RDEBS29586","Ribosomal protein, L1p/L10e family","jgi.p|Debsub1|78917"
"1004",78924,869,NA,NA,NA,NA,NA,NA,"KOG0305","Anaphase promoting complex, Cdc20, Cdh1, and Ama1 subunits","Cell cycle control, cell division, chromosome partitioning , Posttranslational modification, protein turnover, chaperones",NA,NA,642,"RDEBS29465","RDEBS29465","Anaphase promoting complex activator protein CDC20","jgi.p|Debsub1|78924"
"1005",78943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757,"RDEBS29192","RDEBS29192",NA,"jgi.p|Debsub1|78943"
"1006",79802,870,NA,NA,NA,"6583, 6833","phosphomethylpyrimidine kinase activity, thiamin biosynthetic process","GO:0008972, GO:0009228","KOG2598","Phosphomethylpyrimidine kinase","Coenzyme transport and metabolism , Transcription",NA,NA,649,"RDEBS29405","RDEBS29405","Transcriptional activator tenA / Phosphomethylpyrimidine kinase (EC 2.7.4.7) / Hydroxymethylpyrimidine kinase (EC 2.7.1.49)","jgi.p|Debsub1|79802"
"1007",79916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,583,"RDEBS29768","RDEBS29768",NA,"jgi.p|Debsub1|79916"
"1008",79925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632,"RDEBS29903","RDEBS29903","Hypothetical protein","jgi.p|Debsub1|79925"
"1009",79927,871,NA,NA,NA,"3421, 3827, 24310, 5344","guanyl-nucleotide exchange factor activity, intracellular, regulation of small GTPase mediated signal transduction, small GTPase mediated signal transduction","GO:0005085, GO:0005622, GO:0051056, GO:0007264","KOG3417","Ras1 guanine nucleotide exchange factor","Signal transduction mechanisms",NA,NA,627,"RDEBS29927","RDEBS29927","Cell division control protein 25","jgi.p|Debsub1|79927"
"1010",79928,872,"4.2.1.-","Hydro-lyases.","Tetrachloroethene degradation","5830, 2442, 4264, 24786, 6291, 10468, 10475, 11105, 11106, 11107, 11108, 11109, 11110, 11111, 11113, 11114, 11115, 11450, 19186, 19189, 19190, 20999, 25152","metabolic process, aconitate hydratase activity, tricarboxylic acid cycle, 4 iron, 4 sulfur cluster binding, (3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity, peptidyl-serine cyclase activity, peptidyl-cysteine cyclase activity, 6-hydroxycyclohex-1-ene-1-carboxyl-CoA hydratase activity, cis-4-(1'-hydroxynaphth-2'-yl)-2-oxobut-3-enoate hydratase-aldolase activity, E-phenylitaconyl-CoA hydratase activity, trans-4-[2-(3-hydroxy)-thionaphthenyl]-2-oxo-3-butenoate hydratase activity, cyclohex-1-ene-1-carboxyl-CoA hydratase activity, 3-hydroxyacyl-CoA dehydratase activity, trans-o-hydroxybenzylidenepyruvate hydratase-aldolase activity, 3-methyl-5-hydroxy-6-(3-carboxy-3-oxopropenyl)-1H-2-pyridon hydratase-aldolase activity, 2-hydroxyisobutyrate dehydratase activity, 2-oxo-hept-3-ene-1,7-dioate hydratase activity, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity, 4-hydroxybutyryl-CoA dehydratase activity, 2-keto-3-deoxygalactonate aldolase activity, 2-keto-3-deoxygluconate aldolase activity, 3-dehydroshikimate dehydratase activity, acetylenecarboxylate hydratase activity, producing 3-hydroxypropenoate","GO:0008152, GO:0003994, GO:0006099, GO:0051539, GO:0008659, GO:0018128, GO:0018135, GO:0018807, GO:0018808, GO:0018809, GO:0018810, GO:0018811, GO:0018812, GO:0018813, GO:0018815, GO:0018816, GO:0018817, GO:0019171, GO:0043721, GO:0043724, GO:0043725, GO:0046565, GO:0051909","KOG0453","Aconitase/homoaconitase (aconitase superfamily)","Energy production and conversion , Amino acid transport and metabolism",NA,NA,540,"RDEBS29953","RDEBS29953","Aconitate hydratase (EC 4.2.1.3)","jgi.p|Debsub1|79928"
"1011",79929,873,"3.6.3.14","H(+)-transporting two-sector ATPase.","ATP synthesis","8445, 9691, 9292, 21355, 21380, 3930, 6204, 9294, 2390, 19729","hydrogen ion transmembrane transporter activity, proton-transporting two-sector ATPase complex, ATP synthesis coupled proton transport, hydrogen ion transporting ATP synthase activity, rotational mechanism, hydrogen ion transporting ATPase activity, rotational mechanism, cytoplasm, hydrogen-exporting ATPase activity, phosphorylative mechanism, energy coupled proton transport, against electrochemical gradient, hydrogen-transporting two-sector ATPase activity, proton-transporting ATP synthase complex","GO:0015078, GO:0016469, GO:0015986, GO:0046933, GO:0046961, GO:0005737, GO:0008553, GO:0015988, GO:0003936, GO:0045259","KOG1351","Vacuolar H+-ATPase V1 sector, subunit B","Energy production and conversion",NA,NA,536,"RDEBS29974","RDEBS29974",NA,"jgi.p|Debsub1|79929"
